script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
bos-choch-mtf-1m-5m,trend_analysis,OK,3,2,0.0,-7.002126977356849,4.249440798584837,-11.251567775941687,-2.7526861787720116,-1.5754663040991315,1.083543366645922,29.166666666666664,0.09999999999999999,0,-2.7526861787720116,3,0,0,-11.251567775941687,4
btc-intraday-advanced-spot-pro-v6,trend_analysis,OK,3,1,0.3333333333333333,0.30512667757636514,0,0.30512667757636514,0.30512667757636514,0.20956584327484729,0,100.0,0.41819230005454844,0,0.30512667757636514,1,0,0,0,0
carry-monitor,trend_analysis,OK,3,1,0.3333333333333333,1.0055780799156637,0,1.0055780799156637,1.0055780799156637,0.24990014522213289,0,100.0,0.4216945570662449,0,0,0,0,0,1.0055780799156637,1
cbc-flip-with-targets-and-filters-luxalgo,trend_analysis,OK,3,3,0.3333333333333333,-2.3235071020616744,9.618725851581242,-13.43640451378093,10.02687005862205,-1.0232140548806334,2.3705030174892685,37.75252525252525,0.26666666666666666,0,10.02687005862205,22,-13.43640451378093,24,-3.560986851026144,18
ce-1m-3m-buy-sell-hold,trend_analysis,OK,3,3,0.3333333333333333,-4.643323668646893,20.63590252386669,-29.406543147126214,21.111689910202493,-1.2798797394359298,3.045896579864867,19.23076923076923,0.26666666666666666,0,-29.406543147126214,13,21.111689910202493,4,-5.635117769016957,8
ceo-indicator,trend_analysis,OK,3,3,0.0,-5.49825762550605,4.636531732127476,-11.921893686007301,-1.1467841314381804,-1.6728545752904747,1.9392087273482002,35.85084506137138,0.15,0,-1.1467841314381804,57,-11.921893686007301,35,-3.4260950590726718,52
clean-institutional-levels,trend_analysis,OK,3,2,0.0,-3.2092180387538027,1.171671879188354,-4.380889917942157,-2.0375461595654487,-0.6183419126695373,0.3604421260037379,25.0,0.09999999999999999,0,-2.0375461595654487,2,-3.6275560257534525,0,-4.380889917942157,2
codapro-manta-cross-relative-strength-confirmed,trend_analysis,OK,3,3,0.0,-9.658352023868288,2.8319729901160113,-12.752544073648341,-5.909077942047268,-2.9491685301618844,1.1640020137464462,11.428571428571429,0.15,0,-12.752544073648341,6,-10.313434055909253,7,-5.909077942047268,10
colidation-breakout-structureha-cbs,trend_analysis,OK,3,3,0.6666666666666666,0.9038466631121022,5.78607197346482,-6.187539281979756,7.985374382431109,0.4123470478550537,1.3392360776755325,66.66666666666667,0.3878525666488938,0,-6.187539281979756,1,7.985374382431109,1,0.913704888884953,1
crt-marker-candle-range-theory-detection,trend_analysis,OK,3,3,0.3333333333333333,-8.87332365735257,17.123365196653875,-22.653804267145883,15.261864287629825,-1.3371570238252286,1.8860055359251513,34.36652182296782,0.26666666666666666,0,-22.653804267145883,37,-19.22803099254165,41,15.261864287629825,49
daily-bias-notification-system-fish-x-ttrades-ict-concepts,trend_analysis,OK,3,3,0.0,-17.328120998212697,8.36495941469777,-29.06766560475049,-10.194965009105129,-2.9419210070362922,2.1189512004944984,39.92937505132627,0.15,0,-10.194965009105129,55,-29.06766560475049,41,-12.721732380782472,72
daily-mgi-onlyflow,trend_analysis,OK,3,3,0.0,-16.621176257274062,11.045871959225023,-32.23696550693427,-8.456524583406296,-3.6987208324571266,3.7277682629681093,39.566946056307756,0.15,0,-8.456524583406296,55,-32.23696550693427,47,-9.17003868148163,60
daily-volume-profile-pro-willyalgotrader,trend_analysis,OK,3,1,0.3333333333333333,1.0055780799156637,0,1.0055780799156637,1.0055780799156637,0.24990014522213289,0,100.0,0.4216945570662449,0,0,0,0,0,1.0055780799156637,1
decycler-momentum-regime-filter-charonquant,trend_analysis,OK,3,2,0.3333333333333333,2.91641159465316,4.282816677293704,-1.3664050826405438,7.199228271946864,0.2745732781720821,0.45670967480235264,0.0,0.36707130593934423,0,7.199228271946864,1,23.129233094797645,0,-1.3664050826405438,1
delta-ladder-order-flow-ualgo,trend_analysis,OK,3,3,0.0,-9.305148524773726,5.005985972539834,-16.008502144025318,-3.9815105016986636,-1.663885212363942,0.9635970392906251,30.97826086956522,0.15,0,-7.925432928597191,23,-16.008502144025318,27,-3.9815105016986636,24
demand-and-supply-indicator-with-fvg-trend-by-zeeshan,trend_analysis,OK,3,3,0.3333333333333333,-3.4157490191227797,12.324875639175687,-12.215314493686805,14.013982869090905,-1.1769604539285656,2.396230412566403,48.47374847374848,0.26666666666666666,0,-12.04591543277244,21,14.013982869090905,13,-12.215314493686805,14
dkj-hl-levels,trend_analysis,OK,3,3,0.3333333333333333,-4.274206704061149,4.622774052826681,-8.118333051261652,2.2273847624204355,-0.6531834650836773,0.6868839090040895,47.82186948853615,0.26666666666666666,0,-6.93167182334223,27,2.2273847624204355,30,-8.118333051261652,28
donchian-channels-trend,trend_analysis,OK,3,2,0.0,-3.955052443522232,3.708389489955749,-7.663441933477981,-0.24666295356648332,-0.6994949092544706,0.6712002940697328,53.835227272727266,0.09999999999999999,0,-0.24666295356648332,22,11.246138591427677,0,-7.663441933477981,32
dual-supertrend-ab-tracked-ref-cross,trend_analysis,OK,3,1,0.0,-11.883712209554549,0,-11.883712209554549,-11.883712209554549,-1.6976830171638493,0,0.0,0.049999999999999996,0,-11.883712209554549,2,10.235987871081845,0,0,0
dynamic-delta-fvg-luxalgo,trend_analysis,OK,3,3,0.3333333333333333,1.8126010630341811,14.854576047687011,-11.199580106073089,22.60154851347857,-0.4024057774923145,2.2891464498698313,38.888888888888886,0.27572967198183757,0,-11.199580106073089,6,22.60154851347857,1,-5.964165218302937,3
